"Biochar Name","Feedstock Composition","Optional comments about Feedstock","Commercial","Geographic Region","Manufacturer","Pyrolysis Method","Source: Peer Reviewed Publication","Reference","Moisture (%)","Temperature (C)","Total Ash Content (%)","C Organic (%)  ","Total C (%) Used in Plot","Total N (%)","H (%)","O (%)","pH","EC (dS/m)","Mean Particle Size (mm)","Germination Inhibition","Polycylic Aromatic Hydrocarbons (mg/kg)","Dioxin/Furan (mg/kg)","Polychlorinated Biphenyls (mg/kg)","Arsenic (mg/kg)","Cadmium (mg/kg)","Chromium (mg/kg)","Cobalt (mg/kg)","Copper (mg/kg)","Lead (mg/kg)","Molybdenum (mg/kg)","Mercury (mg/kg)","Nickel (mg/kg)","Selenium (mg/kg)","Zinc (mg/kg)","Boron (mg/kg)","Chlorine (mg/kg)","Sodium (mg/kg)","Previous Page","Cation Exchange Capacity (cmolc/kg)","Method Summary/Reference","Volatile Matter (%)","Total Surface Area (m2/g)","Method Summary/Reference","Extractable P (mg/kg)","Total P (mg/kg)","Calcium (mg/kg)","Magnesium (mg/kg)","Potassium (mg/kg)","Aluminum (mg/kg)","Iron (mg/kg)","Elemental extraction method",
"Cladophora coelothrix1","Algae","","Non commercial","","","","Yes","Mutanda et al., Bioresource Technology,  102,  1 (2011)  57-70","","450","32.10","","34.60","3.30","1.50","","8.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cladophora patentiramea1","Algae","","Non commercial","","","","Yes","Mutanda et al., Bioresource Technology,  102,  1 (2011)  57-70","","450.00","47.00","","20.30","1.70","1.50","","9.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chaetomorpha indica1","Algae","","Non commercial","","","","Yes","Mutanda et al., Bioresource Technology,  102,  1 (2011)  57-70","","450.00","73.50","","10.20","1.10",".80","","7.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chaetomorpha linum1","Algae","","Non commercial","","","","Yes","Mutanda et al., Bioresource Technology,  102,  1 (2011)  57-70","","450.00","16.00","","23.60","2.40","1.30","","9.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cladophoropsis sp.1","Algae","","Non commercial","","","","Yes","Mutanda et al., Bioresource Technology,  102,  1 (2011)  57-70","","450.00","46.50","","23.60","2.80","1.50","","10.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caulerpa taxifolia1","Algae","","Non commercial","","","","Yes","Mutanda et al., Bioresource Technology,  102,  1 (2011)  57-70","","450.00","20.90","","24.80","2.40","1.20","","9.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cladophora vagabunda1","Algae","","Non commercial","","","","Yes","Mutanda et al., Bioresource Technology,  102,  1 (2011)  57-70","","450.00","54.20","","21.80","2.00","1.20","","9.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiscue grass1","Grass","","Non commercial","","","","Yes","Keiluweit et al., Env Sci & Technol 44, 4 (2010) 1247-1253","","100.00","6.90","","48.60",".64","7.25","44.10","","","","","","","","","","","","","","","","","","","","","","","","","69.60","1.80","","","","","","","","","",
"Grass straw charf1","Grass","","Non commercial","","","","Yes","Keiluweit et al., Env Sci & Technol 44, 4 (2010) 1247-1253","","100","19.20","","58.60","1.24","3.47","22.70","","","","","","","","","","","","","","","","","","","","","","","","","","5.90","","","","","","","","","",
"Wheat straw1","Grass","","Non commercial","","","","Yes","Chun et al., Env Sci & Technol 38, (2004) 4649-4655","","300.00","","","69.20","","3.20","26.60","","","","","","","","","","","","","","","","","","","","","","","","","","116.00","","","","","","","","","",
"Wheat straw2","Grass","","Non commercial","","","","Yes","Chun et al., Env Sci & Technol 38, (2004) 4649-4655","","500.00","","","83.40","","2.50","10.10","","","","","","","","","","","","","","","","","","","","","","","","","","309.00","","","","","","","","","",
"Wheat straw3","Grass","","Non commercial","","","","Yes","Chun et al., Env Sci & Technol 38, (2004) 4649-4655","","700.00","","","88.00","","1.10","6.00","","","","","","","","","","","","","","","","","","","","","","","","","","363.00","","","","","","","","","",
"Wheat straw4","Grass","","Non commercial","","","","Yes","Mahinpey et al., Energy and Fuels 23 (2009) 2736-2742","","500.00","","","71.10",".29","2.99","25.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cordgrass1","Grass","","Non commercial","","","","Yes","Harvey et al., Environ. Sci. Technol. 45,13 (2011) 5550-5556","","200.00","","","46.2",".54","5.8","36.9","","","","","","","","","","","","","","","","","","","","","","","","","",".78","","","","","","","","","",
"Cordgrass2","Grass","","Non commercial","","","","Yes","Harvey et al., Environ. Sci. Technol. 45,13 (2011) 5550-5556","","300","","","56.1",".71","4.2","22","","","","","","","","","","","","","","","","","","","","","","","","","","1.14","","","","","","","","","",
"Cordgrass3","Grass","","Non commercial","","","","Yes","Harvey et al., Environ. Sci. Technol. 45,13 (2011) 5550-5556","","350","","","55.2",".77","3.5","20.3","","","","","","","","","","","","","","","","","","","","","","","","","","2.03","","","","","","","","","",
"Cordgrass4","Grass","","Non commercial","","","","Yes","Harvey et al., Environ. Sci. Technol. 45,13 (2011) 5550-5556","","550","","","54.1",".66","2.2","12.8","","","","","","","","","","","","","","","","","","","","","","","","","","15.1","","","","","","","","","",
"Corn Stover1","Corn stover","","Non commercial","","","","Yes","Spokas and Reicosky, Annal. Environ. Sci. (2009) 3 179-193","","815","54.7","","44.7",".5","1.6","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","4.38","","","","","","","","","",
"Corn Stover2","Corn stover","","Non commercial","","","","Yes","Spokas and Reicosky, Annal. Environ. Sci. (2009) 3 179-193","","500","69.1","","24.6",".6","1.1","4.6","","","","","","","","","","","","","","","","","","","","","","","","","","4.2","","","","","","","","","",
"Corn Stover3","Corn stover","","Non commercial","","","","Yes","Spokas and Reicosky, Annal. Environ. Sci. (2009) 3 179-193","","410","53.7","","42.1","1","1.6","11.3","","","","","","","","","","","","","","","","","","","","","","","","","","2.23","","","","","","","","","",
"Corn Stover4","Corn stover","","Non commercial","","","","Yes","Spokas and Reicosky, Annal. Environ. Sci. (2009) 3 179-193","","505","54.2","","65.7","1.2","1.4","4.2","","","","","","","","","","","","","","","","","","","","","","","","","","17.3","","","","","","","","","",
"Corn Stover5","Corn stover","","Non commercial","","","","Yes","Spokas and Reicosky, Annal. Environ. Sci. (2009) 3 179-193","","515","73.7","","50.7","1",".8","0","","","","","","","","","","","","","","","","","","","","","","","","","","9.85","","","","","","","","","",
"Peanut hull1","Hull","","Non commercial","","","","Yes","Novak et al., Annal. Environ. Sci. (2009) 3 195-206","","400","8.2","","74.8","2.7","4.5","9.7","7.9","","","","","","","","","","","","","","","","","","","","","","","","38.4","0.54","","","","","","","","","",
"Peanut hull2","Hull","","Non commercial","","","","Yes","Novak et al., Annal. Environ. Sci. (2009) 3 195-206","","500","9.3","","81.8","2.7","2.9","3.3","8.6","","","","","","","","","","","","","","","","","","","","","","","","18.1","1.22","","","","","","","","","",
"Peanut hull3","Hull","","Non commercial","","","","Yes","Novak et al., Annal. Environ. Sci. (2009) 3 195-206","","400","","","73.2","2.43","","","10.5","","","","","","","","","","","","","","","","","","","","","","14.2","","","","","","","","","","","","",
"Peanut hull4","Hull","","Non commercial","","","","Yes","Novak et al., Annal. Environ. Sci. (2009) 3 195-206","","500","","","80.4","2.48","","","10.1","","","","","","","","","","","","","","","","","","","","","","4.63","","","","","","","","","","","","",
"Peanut hull5","Hull","","Non commercial","","","","Yes","Novak et al., Annal. Environ. Sci. (2009) 3 195-206","","481","15.3","","59","2.7","1.9","12.4","","","","","","","","","","","","","","","","","","","","","","","","","","1.01","","","","","","","","","",
"Peanut hulll-aged1","Hull","","Non commercial","","","","Yes","Novak et al., Annal. Environ. Sci. (2009) 3 195-206","","481","14.5","","60.2",".9",".9","10.3","","","","","","","","","","","","","","","","","","","","","","","","","","286","","","","","","","","","",
"Poultry litter1","Manure","","Non commercial","","","","Yes","Chan et al., Australian J. Soil Research 46 (2008) 437-444","","450.00","","","38.00","2.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Poultry litter2","Manure","","Non commercial","","","","Yes","Chan et al., Australian J. Soil Research 46 (2008) 437-444","","550.00","","","33.00",".85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Poultry litter3","Manure","","Non commercial","","","","Yes","Novak et al., Annal. Environ. Sci. (2009) 3 195-206","","350","35.9","","46.1","4.9","3.7","8.6","8.7","","","","","","","","","","","","","","","","","","","","","","","","36.7","1.1","","","","","","","","","",
"Poultry litter4","Manure","","Non commercial","","","","Yes","Novak et al., Annal. Environ. Sci. (2009) 3 195-206","","700","52.4","","44","2.8",".3",".01","10.3","","","","","","","","","","","","","","","","","","","","","","","","14.1","9","","","","","","","","","",
"Poultry litter5","Manure","","Non commercial","","","","Yes","Gaskin et al., ASABE 51, 6 (2008) 2061-2069","","400","","","39.2","3.47","","","10.1","","","","","","","","","","","","","","","","","","","","","","61.1","","","","","","","","","","","","",
"Poultry litter6","Manure","","Non commercial","","","","Yes","Gaskin et al., ASABE 51, 6 (2008) 2061-2069","","500","","","39.2","3.09","","","9.74","","","","","","","","","","","","","","","","","","","","","","38.3","","","","","","","","","","","","",
"Apricot stone1","Other","","Non commercial","","","","Yes","Ozcimen and Ersoy-Mericboyu, Renewable Energy 35 (2010) 1319-1324","","823","8.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.25","","","","","","","","","",
"Hazelnut shell1","Nutshell","","Non commercial","","","","Yes","Ozcimen and Ersoy-Mericboyu, Renewable Energy 35 (2010) 1319-1324","","750.00","6.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.68","","","","","","","","","",
"Chestnut shell1","Nutshell","","Non commercial","","","","Yes","Ozcimen and Ersoy-Mericboyu, Renewable Energy 35 (2010) 1319-1324","","750.00","5.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".67","","","","","","","","","",
"Pecan shell1","Nutshell","","Non commercial","","","","Yes","Novak et al., Annal. Environ. Sci. (2009) 3 195-206","","350","2.4","","64.5",".26","5.3","27.6","5.9","","","","","","","","","","","","","","","","","","","","","","","","61.6","222","","","","","","","","","",
"Pecan shell2","Nutshell","","Non commercial","","","","Yes","Novak et al., Annal. Environ. Sci. (2009) 3 195-206","","700","5.2","","91.2",".51","1.5","1.6","7.2","","","","","","","","","","","","","","","","","","","","","","","","9.7","222","","","","","","","","","",
"Macadamia shell1","Nutshell","","Non commercial","","","","Yes","Spokas and Reicosky, Annal. Environ. Sci. (2009) 3 179-193","","","2","","84",".6","2.3","2","","","","","","","","","","","","","","","","","","","","","","","","","",".4","","","","","","","","","",
"Ponderosa pine shavings1","Soft Wood","","Non commercial","","","","Yes","Keiluweit et al., Env Sci & Technol 44, 4 (2010) 1247-1253","","100.00","1.20","","50.60",".05","6.68","42.70","","","","","","","","","","","","","","","","","","","","","","","","","77.10","1.60","","","","","","","","","",
"Ponderosa pine shavings2","Soft Wood","","Non commercial","","","","Yes","Keiluweit et al., Env Sci & Technol 44, 4 (2010) 1247-1253","","200.00","1.50","","50.90",".04","6.95","42.20","","","","","","","","","","","","","","","","","","","","","","","","","77.10","2.30","","","","","","","","","",
"Ponderosa pine shavings3","Soft Wood","","Non commercial","","","","Yes","Keiluweit et al., Env Sci & Technol 44, 4 (2010) 1247-1253","","300.00","1.50","","54.80",".05","6.50","38.70","","","","","","","","","","","","","","","","","","","","","","","","","70.30","3.00","","","","","","","","","",
"Ponderosa pine shavings4","Soft Wood","","Non commercial","","","","Yes","Keiluweit et al., Env Sci & Technol 44, 4 (2010) 1247-1253","","400.00","1.40","","74.10",".06","4.95","20.90","","","","","","","","","","","","","","","","","","","","","","","","","36.40","28.70","","","","","","","","","",
"Ponderosa pine shavings5","Soft Wood","","Non commercial","","","","Yes","Keiluweit et al., Env Sci & Technol 44, 4 (2010) 1247-1253","","500.00","2.10","","81.90",".08","3.54","14.50","","","","","","","","","","","","","","","","","","","","","","","","","25.20","196.00","","","","","","","","","",
"Ponderosa pine shavings6","Soft Wood","","Non commercial","","","","Yes","Keiluweit et al., Env Sci & Technol 44, 4 (2010) 1247-1253","","600.00","3.70","","89.00",".06","2.99","8.00","","","","","","","","","","","","","","","","","","","","","","","","","11.10","392.00","","","","","","","","","",
"Ponderosa pine shavings7","Soft Wood","","Non commercial","","","","Yes","Keiluweit et al., Env Sci & Technol 44, 4 (2010) 1247-1253","","700.00","1.70","","92.30",".08","1.62","6.00","","","","","","","","","","","","","","","","","","","","","","","","","6.30","347.00","","","","","","","","","",
"Wood1","Wood","","Non commercial","","","","Yes","Major et al., Plant Soil 333 (2010) 117-128","","","4.60","","72.90",".76","1.465","18.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cellulose1","Wood","","Non commercial","","","","Yes","Argudo et al., Carbon 36, 7-8 (1998) 1027-1031","","400.00","0.00","","82.56",".08","3.29","14.07","","","","","","","","","","","","","","","","","","","","","","","","","","133.00","","","","","","","","","",
"Cellulose2","Wood","","Non commercial","","","","Yes","Argudo et al., Carbon 36, 7-8 (1998) 1027-1031","","500.00","0.00","","88.08",".08","3.18","8.66","","","","","","","","","","","","","","","","","","","","","","","","","","292.00","","","","","","","","","",
"Cellulose3","Wood","","Non commercial","","","","Yes","Argudo et al., Carbon 36, 7-8 (1998) 1027-1031","","600.00","0.00","","87.72",".08","2.73","9.47","","","","","","","","","","","","","","","","","","","","","","","","","","322.00","","","","","","","","","",
"Cellulose4","Wood","","Non commercial","","","","Yes","Argudo et al., Carbon 36, 7-8 (1998) 1027-1031","","700.00","0.00","","91.69",".08","1.93","6.30","","","","","","","","","","","","","","","","","","","","","","","","","","337.00","","","","","","","","","",
"Chestnut wood charf1","Hard Wood","","Non commercial","","","","Yes","Hammes et al., Applied Geochem. 23 (2008) 2113-2122","","450",".05","","68.20",".16","3.98","27.10","","","","","","","","","","","","","","","","","","","","","","","","","","2.00","","","","","","","","","",
